coin,date,market_cap,volume,open,close
Bitcoin,2022-03-03,"$834,437,956,672","$25,615,956,856","$43,981","$42,492"
Bitcoin,2022-03-02,"$841,254,375,272","$27,880,763,034","$44,460","$43,981"
Bitcoin,2022-03-01,"$819,019,441,072","$30,634,280,855","$43,225","$44,460"
Bitcoin,2022-02-28,"$717,619,764,688","$19,424,397,946","$37,804","$43,225"
Bitcoin,2022-02-27,"$741,083,625,918","$14,568,201,295","$39,090","$37,804"
Bitcoin,2022-02-26,"$745,763,194,704","$22,579,249,142","$39,316","$39,090"
Bitcoin,2022-02-25,"$727,657,714,638","$40,839,699,481","$38,363","$39,316"
Bitcoin,2022-02-24,"$708,829,287,814","$18,507,851,468","$37,372","$38,363"
Bitcoin,2022-02-23,"$727,094,284,068","$22,212,181,617","$38,337","$37,372"
Bitcoin,2022-02-22,"$703,004,241,590","$25,174,914,104","$37,060","$38,337"
Bitcoin,2022-02-21,"$730,381,814,665","$15,998,424,231","$38,514","$37,060"
Bitcoin,2022-02-20,"$761,447,243,940","$11,735,183,838","$40,193","$38,514"
Bitcoin,2022-02-19,"$759,881,874,201","$20,130,002,755","$40,073","$40,193"
Bitcoin,2022-02-18,"$770,096,677,779","$22,270,664,615","$40,563","$40,073"
Bitcoin,2022-02-17,"$836,256,083,784","$16,847,003,857","$44,063","$40,563"
Bitcoin,2022-02-16,"$848,321,283,144","$19,801,081,789","$44,574","$44,063"
Bitcoin,2022-02-15,"$808,280,617,642","$18,090,873,763","$42,635","$44,574"
Bitcoin,2022-02-14,"$802,059,713,029","$12,146,423,251","$42,248","$42,635"
Bitcoin,2022-02-13,"$799,547,462,143","$15,479,727,289","$42,255","$42,248"
Bitcoin,2022-02-12,"$803,706,779,792","$23,279,080,010","$42,445","$42,255"
Bitcoin,2022-02-11,"$826,942,197,610","$27,877,618,434","$43,628","$42,445"
Bitcoin,2022-02-10,"$841,339,973,339","$19,780,565,063","$44,384","$43,628"
Bitcoin,2022-02-09,"$837,406,846,076","$29,024,977,265","$44,184","$44,384"
Bitcoin,2022-02-08,"$833,392,518,215","$24,171,856,714","$43,911","$44,184"
Bitcoin,2022-02-07,"$804,942,041,477","$13,206,494,655","$42,476","$43,911"
Bitcoin,2022-02-06,"$786,295,053,042","$16,752,051,696","$41,494","$42,476"
Bitcoin,2022-02-05,"$777,355,085,536","$25,347,215,344","$41,674","$41,494"
Bitcoin,2022-02-04,"$703,003,347,952","$16,136,299,995","$37,101","$41,674"
Bitcoin,2022-02-03,"$700,645,616,424","$16,709,908,527","$37,001","$37,101"
Bitcoin,2022-02-02,"$736,102,274,237","$17,109,120,250","$38,836","$37,001"
Bitcoin,2022-02-01,"$727,905,398,096","$17,731,563,487","$38,556","$38,836"
Bitcoin,2022-01-31,"$719,570,142,322","$11,807,185,114","$37,983","$38,556"
Bitcoin,2022-01-30,"$722,829,009,646","$14,178,650,232","$38,232","$37,983"
Bitcoin,2022-01-29,"$717,026,944,843","$19,214,103,304","$37,853","$38,232"
Bitcoin,2022-01-28,"$702,311,456,033","$22,057,410,457","$37,277","$37,853"
Bitcoin,2022-01-27,"$700,165,819,656","$26,756,873,750","$36,870","$37,277"
Bitcoin,2022-01-26,"$700,571,452,649","$46,168,918,585","$36,989","$36,870"
Bitcoin,2022-01-25,"$696,465,421,899","$36,385,158,449","$36,774","$36,989"
Bitcoin,2022-01-24,"$687,575,973,800","$22,865,032,969","$36,306","$36,774"
Bitcoin,2022-01-23,"$666,220,701,468","$35,517,336,417","$35,180","$36,306"
Bitcoin,2022-01-22,"$692,855,029,163","$38,296,960,033","$36,509","$35,180"
Bitcoin,2022-01-21,"$774,235,809,673","$20,930,163,211","$40,708","$36,509"
Bitcoin,2022-01-20,"$790,507,925,309","$19,626,113,310","$41,750","$40,708"
Bitcoin,2022-01-19,"$803,962,100,418","$18,897,950,050","$42,395","$41,750"
Bitcoin,2022-01-18,"$800,822,650,384","$17,694,929,626","$42,298","$42,395"
Bitcoin,2022-01-17,"$816,325,578,941","$14,452,346,389","$43,120","$42,298"
Bitcoin,2022-01-16,"$816,800,318,527","$14,651,008,625","$43,227","$43,120"
Bitcoin,2022-01-15,"$816,129,314,317","$20,238,314,435","$43,121","$43,227"
Bitcoin,2022-01-14,"$806,510,860,232","$43,905,745,871","$42,608","$43,121"
Bitcoin,2022-01-13,"$832,460,077,955","$28,250,302,540","$43,982",N/A
Bitcoin,2022-01-12,"$809,621,515,508","$22,813,557,398","$42,777","$43,982"
Bitcoin,2022-01-11,"$792,407,724,468","$27,984,634,062","$41,870","$42,777"
Bitcoin,2022-01-10,"$791,648,558,215","$18,016,718,174","$41,862","$41,870"
Bitcoin,2022-01-09,"$792,892,599,976","$23,337,017,233","$41,757","$41,862"
Bitcoin,2022-01-08,"$787,735,561,341","$79,685,254,648","$41,527","$41,757"
Bitcoin,2022-01-07,"$819,522,879,407","$26,366,602,397","$43,216","$41,527"
Bitcoin,2022-01-06,"$827,723,202,715","$31,837,641,246","$43,647","$43,216"
Bitcoin,2022-01-05,"$876,242,689,666","$24,895,990,584","$45,938","$43,647"
Bitcoin,2022-01-04,"$880,330,191,985","$21,890,019,532","$46,531","$45,938"
Bitcoin,2022-01-03,"$897,536,090,321","$33,756,128,242","$47,387","$46,531"
Bitcoin,2022-01-02,"$904,551,946,917","$18,904,585,811","$47,816","$47,387"
Bitcoin,2022-01-01,"$876,192,941,903","$25,895,349,605","$46,320","$47,816"
